"Age","Sex","ID","Height","Chest","Belly","Thigh","Knee","Calf","Ankle","Biceps","Wrist","Weight"
21,"m",1,174,89.5,71.5,51.5,34.5,36.5,23.5,32.5,16.5,65.6
23,"m",2,175.3,97,79,51.5,36.5,37.5,24.5,34.4,17,71.8
28,"m",3,193.5,97.5,83.2,57.3,37,37.3,21.9,33.4,16.9,80.7
23,"m",4,186.5,97,77.8,53,37,34.8,23,31,16.6,72.6
22,"m",5,187.2,97.5,80,55.4,37.7,38.6,24.4,32,18,78.8
21,"m",6,181.5,99.9,82.5,57.5,36.6,36.1,23.5,33,16.9,74.8
26,"m",7,184,106.9,82,60.9,40.1,40.3,23.6,42.4,18.8,86.4
27,"m",8,184.5,102.5,76.8,56,39.2,36.7,22.5,34.1,18,78.4
23,"m",9,175,91,68.5,50,35.5,35,22,33,16.5,62
21,"m",10,184,93.5,77.5,59.8,38.3,38.6,22.2,36.5,16.9,81.6
23,"m",11,180,97.7,81.9,60.5,38.9,40.1,23.2,34.6,16.2,76.6
22,"m",12,177.8,99.5,82.6,58.5,39,38.4,24.3,38.5,18.2,83.6
20,"m",13,192,103,85,59,40.5,40,26,33.5,18,90
26,"m",14,176,99.6,85.6,59.1,35.8,36,21.5,35.6,16.6,74.6
23,"m",15,174,101.5,78,57,34.5,35,22,36,16.5,71
22,"m",16,184,104.1,82,56,39,35.7,24,34.5,17.5,79.6
30,"m",17,192.7,100,88.3,65.8,40.9,41.7,24.2,37,17.8,93.8
22,"m",18,171.5,93.8,73.6,54.1,36.4,35.6,22,31.2,17.1,70
29,"m",19,173,98.5,78.5,55,38,36.5,23,34.5,18.5,72.4
22,"m",20,176,104,87.3,59.5,39.8,42,26.5,37,18.8,85.9
22,"m",21,176,100,92,57.5,37.5,35.2,21,32,17.3,78.8
20,"m",22,180.5,100,80,57,37.5,35.5,23,37,18,77.8
22,"m",23,172.7,99,74.5,53.4,36.2,33.3,23.5,31.2,16,66.2
24,"m",24,176,101,90.6,59.5,35.4,40.6,22.9,37,17,86.4
26,"m",25,173.5,101.6,81.4,61.3,38.5,41.2,22.8,39.4,18.2,81.8
24,"m",26,178,108.8,89.5,59.5,39.9,41.5,23.5,37.5,19,89.6
21,"m",27,180.3,100,85,62,38,40,23.5,35.5,16.7,82.8
24,"m",28,180.3,88,73.5,56.3,39,38.2,23.5,32.5,17.8,76.4
23,"m",29,164.5,88.7,75.8,52.6,37,37.4,21.5,31.2,16.5,63.2
19,"m",30,173,84.5,74,50.5,34,32.8,21,27.5,15.6,60.9
23,"m",31,183.5,93.6,77.5,56.5,37.6,36.3,21,32.8,16.6,74.8
25,"m",32,175.5,105,74,54.2,36.2,36.6,22.4,34.1,17.2,70
23,"m",33,188,90.9,74,51.8,36.4,34.6,22.9,29.8,17,72.4
23,"m",34,189.2,91.2,82,57.5,40.7,40.1,24.3,32.8,17.2,84.1
23,"m",35,172.8,98.4,73,56.3,37.2,34.5,21.8,36.4,16.9,69.1
20,"m",36,170,85,70.5,50,36,34.5,21.5,29,17,59.5
22,"m",37,182,97.2,75,49.5,36.3,35.1,21,31,17,67.2
24,"m",38,170,91.5,72.1,54.9,36.1,37.2,22.9,29.5,16,61.3
22,"m",39,177.8,91.2,78.8,55.8,36.4,35.1,23,31.9,16.8,68.6
24,"m",40,184.2,101.1,77.5,55,38.3,39.6,23.3,37.7,18.7,80.1
21,"m",41,186.7,104.3,91.5,62,36.7,39.4,23.1,36.3,17.6,87.8
23,"m",42,171.4,110.8,84.9,66.4,37,37.7,22.6,42.3,17.5,84.7
24,"m",43,172.7,96.3,79.1,60.1,36.9,38.2,23.4,35.5,16.7,73.4
35,"m",44,175.3,102.7,77.9,56.7,35.6,35.5,22.9,35.4,17,72.1
29,"m",45,180.3,103.9,91.7,61,37.7,40,22.2,35.7,17.9,82.6
25,"m",46,182.9,105.6,86.6,63.2,39,40.2,24.3,37.8,18.9,88.7
23,"m",47,188,95.8,84.7,60,38.4,37.9,23.2,35,16.8,84.1
20,"m",48,177.2,111.2,90.3,66.9,39.2,40.1,25.7,40.2,17.7,94.1
25,"m",49,172.1,100,79.7,61.1,34.5,36.1,21.4,36.3,16.3,74.9
29,"m",50,167,91.6,73.1,50.6,31.7,33.6,20.3,30.8,15.8,59.1
23,"m",51,169.5,108,79.8,58.3,34.2,38.1,21.1,39.8,16.9,75.6
23,"m",52,174,109.6,81.6,61.7,38.8,36.5,22.7,39.5,17.9,86.2
36,"m",53,172.7,105.7,76.8,56.8,35.9,38.3,23.4,37.9,17.3,75.3
25,"m",54,182.2,109.1,85.9,61.3,36.8,38.6,21.9,40.1,16.4,87.1
24,"m",55,164.1,88.8,73.3,46.9,31.1,30.5,19,30.5,15,55.2
20,"m",56,163,86.1,69.9,50.8,32.8,36.3,20,31.5,15.8,57
28,"m",57,177,94.4,77.9,57.1,36.6,37.5,21.6,31.2,16.1,71.6
35,"m",58,167,98.1,77.8,52.4,34.2,36,21.8,33.2,17.5,68.2
23,"m",59,171.8,93.6,72.7,51.9,33.5,33.8,21.1,32.1,16.9,66.1
23,"m",60,182,93.4,75,53.8,36.1,36.2,22,34.2,17.5,72
21,"m",61,177.8,99.2,82.7,56.6,35.8,36.3,21.8,32.4,16.7,74.8
26,"m",62,164.5,97.6,80,57.8,36.2,37.4,22,33.8,17.2,70
33,"m",63,192,108.8,107.1,67,40,39.6,24.6,39.6,17.7,101.6
36,"m",64,175.5,91.9,76.2,52,34.8,32.6,21,30.7,16.1,63.2
40,"m",65,181.6,98.3,89.4,54.8,36.4,35.6,21.6,31,16.6,78.9
27,"m",66,167.4,92.5,80.9,59,36.1,39,21.2,31.5,15.6,67.7
27,"m",67,181.1,92.5,73.5,53.1,36,36,23.8,30.6,17.5,66
23,"m",68,177,101.6,70.9,56,36,34,22,36,17,68.2
31,"m",69,174.5,94.6,76.1,52.4,34.5,37.9,22.7,28.6,15.8,63.9
26,"m",70,177.5,92.5,81,54.7,35.8,37.6,21.1,32.3,15.8,72
23,"m",71,170.5,88.2,72,50.2,34.9,35.1,20.1,28.6,15.4,56.8
24,"m",72,182.4,91,76.8,54.6,37.5,35.6,22.1,33.2,16.3,74.5
24,"m",73,197.1,106,86,60.6,38.8,39.5,23.6,34,18,90.9
34,"m",74,180.1,115,98.5,67.8,38,41.2,23.3,35.8,16,93
21,"m",75,175.5,100,79,62.1,39.6,40.8,25.9,34,18,80.9
25,"m",76,180.6,94.7,77.5,54.2,36.5,35.8,21.3,30.9,16.5,72.7
34,"m",77,184.4,92.5,75.2,49.6,36.2,35.7,22.1,29.2,16.7,68
31,"m",78,175.5,96.7,82,54.6,35.6,36.4,20.7,32,16.2,70.9
40,"m",79,180.6,97.4,79.6,54.2,36.5,38,21.6,32.6,16.6,72.5
21,"m",80,177,106.7,75.2,57.4,38.1,36,22.6,36.7,17.3,72.5
33,"m",81,177.1,106.2,88.6,63.4,38.4,38.6,23.1,36.9,17.3,83.4
25,"m",82,181.6,103.6,81.5,55,35.4,36.5,21.9,33,16.4,75.5
29,"m",83,176.5,98.3,79.9,54.4,36.8,37.9,22.3,33.5,16.6,73
27,"m",84,175,87.8,73.5,53.5,36.5,35.2,22,34.3,17,70.2
26,"m",85,165.1,104.6,81.5,54.1,35.1,35.2,21.1,33,16.3,70.5
22,"m",86,177,86.5,74,53.5,36.6,38.6,21.2,30.5,16,68.9
37,"m",87,192,110,104,63.2,41.2,39.3,24.6,37.5,18.6,102.3
38,"m",88,176.5,93.2,76.2,55.2,36.8,37.7,22.7,31.2,16.2,68.4
20,"m",89,169.4,90,76.5,54.2,35.5,35.3,21.5,33.1,16.2,65.9
21,"m",90,182.1,98.4,81,56,37,35.5,24,32,16.5,75.7
24,"m",91,179.8,107.2,88.8,61,38,39.4,23.2,34.6,17,84.5
25,"m",92,184.9,105.7,83.4,61.3,39.4,41.8,24,34.7,17.8,86.4
22,"m",93,177.3,88.5,77,51.7,38.4,38.5,22.5,33.5,17.5,73.2
29,"m",94,167.4,79.3,75.4,50,33.8,32.5,21.2,25.6,14.6,53.9
37,"m",95,178.1,90.9,80.3,53.9,36.5,35,21,32.5,16.4,72
20,"m",96,168.9,90.2,68,49.5,34,34.5,20.9,27,16,55.5
20,"m",97,157.2,91.6,80.6,55,35.5,34,20.8,30.7,16.4,58.4
32,"m",98,180.3,105.2,88.6,58.3,40.3,39.7,26.3,36.9,18.1,83.2
23,"m",99,170.2,97,81.1,53.5,35,37.3,23.1,33.7,16.7,72.7
25,"m",100,177.8,85.3,70.8,55.8,38.5,34.2,21.3,28.7,15.6,64.1
27,"m",101,172.7,99.6,73.3,55.4,34.3,34.3,22.3,36.3,18.4,72.3
21,"m",102,165.1,94.3,75.9,54.4,34.8,35.5,23,33.2,16.3,65
27,"m",103,186.7,111.8,86.2,59.1,38.3,34.7,23,36.3,16.1,86.4
25,"m",104,165.1,94.3,75,53.8,34.5,33.5,23,36.3,17.1,65
38,"m",105,174,106.1,101,60.2,39.5,39.4,25.6,38.6,18.3,88.6
27,"m",106,185.4,94.8,75,49.4,31.7,30.2,16.4,30,16.1,66.8
37,"m",107,177.8,102.9,75.9,55,37,37.7,24.5,35.2,17.3,75.5
28,"m",108,180.3,115.8,96,62.2,41.2,39.4,25.1,38.2,17.7,93.2
33,"m",109,180.3,105.4,84,57.6,38.6,38.2,22.8,38.7,18.2,82.7
25,"m",110,177.8,87.1,67.1,46.8,32.7,32.1,20,30.3,15.3,58
21,"m",111,177.8,104.1,82.5,57.7,37.8,38.3,24.6,37.9,18.1,79.5
30,"m",112,177.8,95.8,83.7,56.2,38,39.6,25.8,33.7,17.6,78.6
26,"m",113,177.8,98.6,76.7,56,34.7,34.6,20.6,35.7,16,71.8
33,"m",114,163.8,100.9,90.6,58,34.1,35.8,22.2,34.8,16.3,72.2
29,"m",115,188,98.5,85.7,55.5,39.3,35.9,23,35.3,17.4,83.6
27,"m",116,198.1,96.9,82.5,54.4,39.2,37,27.5,32.8,17.9,85.5
34,"m",117,175.3,110.7,94.7,60.1,40.5,40,24.2,37.2,17.6,90.9
29,"m",118,190.5,109,86,59.5,38.3,39,25.8,40,19.5,89.1
29,"m",119,172.7,112.4,98.4,67.4,42.6,40.7,25.3,39.2,17.5,90.9
27,"m",120,190.5,96.2,76.7,50.4,36.1,32.9,23.2,32.1,17,73.6
33,"m",121,168.9,90.9,80.1,56.2,36.2,33,23,32.9,16.8,69.1
30,"m",122,175.3,94.3,73.7,52.3,35.2,36.2,21.2,29.6,16.2,64.5
20,"m",123,170.2,109.1,76.1,51.7,36.8,37.7,23.6,37,18.5,69.1
34,"m",124,190.5,100.1,84.5,54.7,38.5,37.6,25,33.9,17.7,80.9
34,"m",125,176.5,101.8,87.8,55.6,38.2,37.7,24.5,33.1,17.1,80.2
32,"m",126,177.8,94.5,80,52,36.9,36.4,22.9,31.5,17,72
28,"m",127,180.3,91.7,81.8,56.3,35,33,22,31,15.5,71.4
31,"m",128,171.4,95.9,84.4,55,36.1,38.4,21.3,30.5,16.4,72.7
29,"m",129,172.7,110.5,85,59,37.9,37.7,23.8,39.2,17.1,84.1
29,"m",130,177.8,86.8,72.9,51,32.6,33.1,22.1,29.8,16.3,63.6
31,"m",131,177.8,106.7,81,54.8,36.9,37.3,22.7,35.5,16.8,80.9
30,"m",132,182.9,102.5,86.5,57,38,37,22.5,34,17.4,80.9
27,"m",133,170.2,103,93.9,60.5,40.9,40.8,24.6,34.4,17.1,85.5
25,"m",134,167.6,95,77,52,34.4,34.4,20,32.6,16.5,68.6
24,"m",135,175.3,99,75,50.6,33.8,34,22,32,17,67.7
33,"m",136,165.1,89.7,80.6,55.5,34.6,37.4,23,28.9,16.4,66.4
37,"m",137,181.6,94.1,81.2,51.5,35.2,35.5,23.1,33,16.3,70.5
34,"m",138,190.5,106.5,90.3,57.2,40.4,37.8,24.9,35.4,17.9,84.1
24,"m",139,170.2,98.5,77.9,50.8,35.5,35,21,35,16.6,65.9
22,"m",140,193,111.6,89.1,62.7,41.1,41.2,27.7,37.9,18.1,95.9
38,"m",141,171.4,106.7,93.9,62.8,42.8,39.3,23.5,36.2,16.8,91.4
24,"m",142,177.8,110.4,85.3,57,36.8,36,21.6,39,17.3,81.8
29,"m",143,177.8,114,98.5,61.3,41.9,42.1,26.4,37.2,17.9,96.8
25,"m",144,167.6,101.8,79.5,54.8,36.6,36.2,22.8,34.2,17.3,69.1
37,"m",145,167.6,109.6,94.9,59,37.7,36.8,23.2,35.9,16.5,82.7
30,"m",146,180.3,100.7,76.5,54.2,36.4,38.2,23.8,33.8,18.2,75.5
26,"m",147,182.9,104.3,88.4,54.8,37.7,37,23.7,35.5,18.3,79.5
35,"m",148,176.5,104.2,84.2,55,35.6,36.4,22.8,33,15.9,73.6
29,"m",149,186.7,107.4,87.6,60.9,39,42.6,25.8,38.3,18.8,91.8
30,"m",150,188,101,83.7,56.8,38.7,41.8,29.3,33.5,18,84.1
37,"m",151,188,103,92.1,56.6,37.1,37.4,22.6,33.3,17.1,85.9
34,"m",152,177.8,107.2,89.9,59.2,36.6,32.3,22,35.3,17.1,81.8
28,"m",153,174,99,88.7,57.5,40.9,38.8,26.4,34,18.1,82.5
27,"m",154,177.8,100.3,83.9,59.8,37,36.5,24.3,36.1,18.7,80.5
32,"m",155,171.4,100.2,79.5,52.5,35.6,35.1,21.8,34.6,16.3,70
28,"m",156,185.4,99.8,84.5,59.2,36.5,38.5,24.5,34.3,17.3,81.8
22,"m",157,185.4,107.5,89.2,56.9,37,37.6,23,35.6,17.5,84.1
25,"m",158,188,107,88.8,61,38.4,39.5,24.4,36.7,16.8,91.4
23,"m",159,175.3,108.5,84.2,58.8,34.2,34.8,22,36.6,18.1,86.4
33,"m",160,170.5,97.8,85.7,51.7,34.4,32.6,22,32.2,16.4,67.7
21,"m",161,182.9,100.2,80.3,53.8,38.4,37,25.6,35.7,17.9,75
18,"m",162,170.8,106.3,98.6,70,37.5,39.2,25.7,37.1,15.9,93.2
21,"m",163,188,109.5,90,63.5,37.4,37.3,24.3,39.4,17.2,93.2
22,"m",164,177.8,91.5,80.2,48.5,35.4,32.3,23,28.7,16.2,61.4
29,"m",165,185.4,102.5,81,56,38.5,36.9,21.3,31.5,16.6,83.6
40,"m",166,180.3,101.2,88.8,62.5,40.6,39.2,23,35.2,17.5,85.5
24,"m",167,174,98.7,78.1,56.5,36.4,37,22,35.7,17.2,73.9
26,"m",168,182.9,104.2,87.6,60.7,40.7,38.4,22.9,36.5,17.9,87.3
35,"m",169,160,103,92.5,55,36.5,37,21.8,36,17.5,72.3
37,"m",170,180.3,107,97,56.6,40,38.5,24,34.4,17,88.6
34,"m",171,167.6,101,82,59,38,42,23.6,35.4,17.5,75.5
25,"m",172,186.7,112.1,99.5,60.5,42.9,38.7,25.7,35.5,17.1,101.4
30,"m",173,175.3,103.4,93.8,66.2,45.7,43.6,26.9,34.8,17,91.1
32,"m",174,175.3,100.3,79.1,51,36.1,32.7,22.5,32.6,17.9,67.3
27,"m",175,175.9,95.7,85.8,60.6,37.5,41.8,26.2,33.6,17.8,77.7
19,"m",176,177.8,101.6,79.7,58.1,38,38.1,25.3,36.5,17.7,76.6
